1,DEE-RE-JP-AII,2,U,,,,,,,,,,
159,+,L XING:92,500,20,2748.6656,7638.4184,S,333.44,9,E,E,E,STR
160,KRH,KRH HOME,500,20,2748.1454,7638.483,S,333.44,7,E,E,E,STR
161,+,L XING:93,500,20,2748.044,7638.4946,S,333.44,9,E,E,E,STR
162,KRH,KRH STR,500,20,2747.5421,7638.556,S,333.44,11,E,E,E,STR
163,KRH,KRH ADV STR,500,20,2747.3507,7638.5757,S,333.44,2,E,E,E,STR
164,+,PSR:120KMPH,500,20,2746.9338,7638.6238,S,333.44,44,E,E,E,STR
165,+,GATE SIG:95,500,20,2746.8578,7638.634,S,333.44,4,E,E,E,STR
166,+,L XING:95,500,20,2746.7578,7638.6336,S,333.44,9,E,E,E,STR
167,+,GATE SIG:96,500,20,2746.4475,7638.5499,S,333.44,4,E,E,E,STR
168,+,L XING:96,500,20,2746.3416,7638.5191,S,333.44,9,E,E,E,STR
169,+,L XING:97,500,20,2745.5898,7638.2978,S,333.44,9,E,E,E,STR
170,IB,IBS DISTANT,500,20,2745.5468,7638.2852,S,333.44,50,E,E,E,STR
171,+,L XING:98,500,20,2745.296,7638.1958,S,333.44,9,E,E,E,STR
172,IB,INN DIST,500,20,2744.9966,7638.0925,S,333.44,26,E,E,E,STR
173,IB,IBS SIGNAL,500,20,2744.4723,7637.9115,S,333.44,19,E,E,E,STR
174,+,L XING:99,500,20,2744.3847,7637.8798,S,333.44,9,E,E,E,STR
175,+,HALT:GAL,500,20,2744.3039,7637.8501,S,333.44,5,E,E,E,STR
176,+,GATE SIG:100,500,20,2743.9216,7637.7188,S,333.44,4,E,E,E,STR
177,+,L XING:100,500,20,2743.8199,7637.6835,S,333.44,9,E,E,E,STR
178,+,L XING:102,500,20,2742.7813,7637.3211,S,333.44,9,E,E,E,STR
179,PSL,PSL DIST,500,20,2742.4438,7637.2063,S,333.44,3,E,E,E,STR
180,PSL,INN DIST,500,20,2741.8621,7637.0166,S,333.44,26,E,E,E,STR
181,PSL,PSL HOME,500,20,2741.3354,7636.9656,S,333.44,7,E,E,E,STR
182,+,L XING:104,500,20,2741.2187,7636.9591,S,333.44,9,E,E,E,STR
183,PSL,PSL STR,500,20,2740.5946,7636.9109,S,333.44,11,E,E,E,STR
184,PSL,PSL ADV STR,500,20,2740.4324,7636.8972,S,333.44,2,E,E,E,STR
185,+,L XING:105,500,20,2740.2401,7636.8816,S,333.44,9,E,E,E,STR
186,+,L XING:106,500,20,2739.8352,7636.8487,S,333.44,9,E,E,E,STR
187,GATE,GATE DIST,500,20,2738.7915,7636.8962,S,333.44,34,E,E,E,STR
188,+,L XING:107,500,20,2738.6859,7636.9001,S,333.44,9,E,E,E,STR
189,GATE,INN DIST,500,20,2738.1836,7636.926,S,333.44,26,E,E,E,STR
190,+,GATE SIG:108,500,20,2737.5915,7636.9529,S,333.44,4,E,E,E,STR
191,+,L XING:108,500,20,2737.4694,7636.9714,S,333.44,9,E,E,E,STR
192,GATE,GATE DIST,500,20,2737.2724,7636.9983,S,333.44,34,E,E,E,STR
193,+,L XING:109,500,20,2736.8187,7637.0581,S,333.44,9,E,E,E,STR
194,GATE,INN DIST,500,20,2736.6666,7637.0786,S,333.44,26,E,E,E,STR
195,.,DJ OPEN,240,20,2736.4892,7637.1021,S,333.44,24,E,E,E,STR
196,+,GATE SIG:111,500,20,2736.1162,7637.1524,S,333.44,4,E,E,E,STR
197,+,L XING:111,500,20,2735.9976,7637.1682,S,333.44,9,E,E,E,STR
198,AWR,AWR HOME:80,500,20,2735.5555,7637.2274,S,333.44,7,E,E,E,STR
199,AWR,AWR R HOME:70,500,20,2734.7612,7637.3328,S,333.44,16,E,E,E,STR
200,AWR,AWR R HOME:56,500,20,2734.3818,7637.3509,S,333.44,16,E,E,E,STR
201,+,PSR:100KMPH,500,20,2734.1822,7637.3378,S,333.44,44,E,E,E,STR
202,+,L XING:114,500,20,2734.1335,7637.3353,S,333.44,9,E,E,E,STR
203,AWR,AWR STR:22,500,20,2733.4807,7637.291,S,333.44,11,E,E,E,STR
204,AWR,AWR ADV STR,500,20,2732.9591,7637.2532,S,333.44,2,E,E,E,STR
205,GATE,GATE DIST,500,20,2732.8548,7637.2447,S,333.44,34,E,E,E,STR
206,GATE,INN DIST,500,20,2732.3159,7637.1741,S,333.44,26,E,E,E,STR
207,+,GATE SIG:118,500,20,2731.7576,7637.0789,S,333.44,4,E,E,E,STR
208,+,L XING:118,500,20,2731.6286,7637.0548,S,333.44,9,E,E,E,STR
209,+,PSR:110KMPH,500,20,2729.8132,7636.7474,S,333.44,44,E,E,E,STR
210,MWW,MWW DIST,500,20,2729.3222,7636.5668,S,333.44,3,E,E,E,STR
211,MWW,MWW INN DIST,500,20,2728.7277,7636.6434,S,333.44,26,E,E,E,STR
212,MWW,MWW HOME,500,20,2728.2176,7636.7853,S,333.44,7,E,E,E,STR
213,MWW,MWW STR,500,20,2727.574,7636.9588,S,333.44,11,E,E,E,STR
214,+,PSR:75KMPH,500,20,2727.4811,7636.984,S,333.44,44,E,E,E,STR
215,MWW,MWW ADV STR,500,20,2727.381,7637.0093,S,333.44,2,E,E,E,STR
216,MKH,MKH DIST,500,20,2725.1854,7637.1639,S,333.44,3,E,E,E,STR
